transaction_id,order_id,order_date,ship_date,ship_mode,customer_id,segment,country,city,state,product_id,category,sub_category,product_name,sales,quantity,discount,total_amount,payment_method,shipping_status
5001,CA-2024-0001,2025-01-19,2024-03-10,Same Day,1556,Consumer,USA,Port David,Illinois,P3470,Furniture,Chairs,Other Phone,2202.06,1,10.41,1654.07,Bank Transfer,Shipped
5002,CA-2024-0002,2025-02-13,2023-07-23,Same Day,1526,Consumer,USA,Johnsonhaven,Indiana,P3066,Electronics,Smartphones,Those Phone,2254.52,4,0.89,1677.33,Bank Transfer,Cancelled
5003,CA-2024-0003,2024-01-17,2023-10-24,Standard,1029,Consumer,USA,West Cindy,Wyoming,P3115,Furniture,Tables,Serve Monitor,482.08,2,12.81,2041.51,Debit Card,Shipped
5004,CA-2024-0004,2023-07-30,2024-03-10,Standard,1747,Corporate,USA,Shannonbury,Colorado,P3105,Furniture,Printers,Different Printer,1230.33,3,8.83,764.96,Credit Card,In Transit
5005,CA-2024-0005,2023-05-23,2023-11-17,Express,1224,Home Office,USA,Port Travisbury,Georgia,P3224,Office Supplies,Laptops,Cell Phone,722.98,3,10.91,2494.89,PayPal,Delivered
5006,CA-2024-0006,2024-08-07,2024-03-09,Same Day,1965,Consumer,USA,Moranfort,California,P3895,Office Supplies,Laptops,Election Monitor,1756.57,3,8.6,193.41,Bank Transfer,Cancelled
5007,CA-2024-0007,2023-08-03,2023-07-20,Express,1700,Home Office,USA,Port Daniellefurt,Virginia,P3602,Furniture,Chairs,Gun Monitor,2264.59,3,0.98,1222.93,PayPal,Delivered
5008,CA-2024-0008,2023-07-28,2023-06-22,Standard,1249,Corporate,USA,Hopkinsburgh,Arizona,P3183,Electronics,Smartphones,That Phone,167.09,4,10.16,1737.84,Bank Transfer,Shipped
5009,CA-2024-0009,2023-03-28,2023-09-30,Standard,1174,Corporate,USA,West Kevinport,Michigan,P3311,Furniture,Smartphones,Want Printer,2183.7,1,17.79,670.76,PayPal,In Transit
5010,CA-2024-0010,2023-05-26,2024-08-24,Standard,1487,Home Office,USA,Melissaton,New York,P3122,Electronics,Printers,Area Desk,1681.9,2,2.44,1924.22,Debit Card,Delivered
5011,CA-2024-0011,2024-09-23,2025-02-15,Standard,1373,Home Office,USA,New Brendahaven,Delaware,P3523,Office Supplies,Tables,Spring Phone,2362.82,1,17.37,323.13,PayPal,Shipped
5012,CA-2024-0012,2024-07-08,2023-05-07,Standard,1748,Consumer,USA,Grahamfort,Nebraska,P3916,Electronics,Printers,Answer Desk,1124.87,3,12.61,621.43,Debit Card,Delivered
5013,CA-2024-0013,2025-01-04,2024-01-05,Express,1606,Corporate,USA,Michellefort,Nebraska,P3533,Furniture,Chairs,She Phone,2149.21,5,7.53,1113.76,Bank Transfer,Cancelled
5014,CA-2024-0014,2024-07-18,2023-10-16,Same Day,1325,Corporate,USA,Jenniferville,Idaho,P3483,Office Supplies,Laptops,Adult Printer,403.37,3,2.29,749.43,Credit Card,Delivered
5015,CA-2024-0015,2023-08-06,2023-07-10,Express,1051,Consumer,USA,West Peterstad,Texas,P3324,Electronics,Laptops,Listen Phone,451.02,5,6.08,314.47,Bank Transfer,Shipped
5016,CA-2024-0016,2023-04-04,2024-03-03,Same Day,1232,Home Office,USA,West Aaronmouth,Idaho,P3833,Furniture,Laptops,Accept Printer,1601.54,4,11.76,853.62,Debit Card,Cancelled
5017,CA-2024-0017,2024-02-13,2024-03-01,Standard,1369,Consumer,USA,Zunigaland,New Hampshire,P3377,Furniture,Printers,Section Desk,984.2,2,19.75,1768.97,PayPal,Delivered
5018,CA-2024-0018,2024-07-17,2023-03-08,Standard,1739,Corporate,USA,South Karen,Florida,P3456,Electronics,Smartphones,Represent Desk,1285.79,4,3.13,1504.05,PayPal,Cancelled
5019,CA-2024-0019,2023-09-28,2024-02-12,Express,1784,Corporate,USA,Lake Elizabethmouth,Texas,P3632,Electronics,Tables,Market Desk,1505.09,5,7.08,1738.04,Debit Card,In Transit
5020,CA-2024-0020,2024-08-08,2023-05-14,Standard,1687,Corporate,USA,Jackton,Iowa,P3627,Electronics,Laptops,Pm Laptop,569.97,2,6.29,608.12,Credit Card,In Transit
5021,CA-2024-0021,2024-10-24,2023-03-20,Same Day,1110,Corporate,USA,Schwartzland,Indiana,P3792,Electronics,Tables,Common Printer,333.7,1,19.05,2322.15,PayPal,Delivered
5022,CA-2024-0022,2024-03-14,2023-07-13,Same Day,1520,Corporate,USA,Georgehaven,Washington,P3603,Office Supplies,Tables,Eat Monitor,1024.04,4,2.09,1230.97,Bank Transfer,In Transit
5023,CA-2024-0023,2024-06-02,2023-06-05,Express,1603,Corporate,USA,East Jonathanville,West Virginia,P3780,Electronics,Laptops,Federal Printer,1697.95,4,17.04,79.22,Credit Card,In Transit
5024,CA-2024-0024,2023-11-25,2025-01-27,Same Day,1470,Corporate,USA,Port David,Colorado,P3297,Furniture,Chairs,Deal Printer,525.41,2,19.52,956.27,Debit Card,In Transit
5025,CA-2024-0025,2023-07-12,2024-09-10,Standard,1520,Corporate,USA,Greenfurt,Virginia,P3567,Electronics,Smartphones,Water Printer,653.29,3,4.14,147.07,PayPal,In Transit
5026,CA-2024-0026,2024-02-05,2023-03-26,Express,1788,Home Office,USA,Goodmantown,Georgia,P3632,Office Supplies,Smartphones,Huge Phone,1978.22,3,19.83,2062.26,PayPal,Cancelled
5027,CA-2024-0027,2023-07-25,2024-04-30,Same Day,1304,Home Office,USA,Nelsonbury,California,P3566,Electronics,Tables,Fill Phone,1696.4,5,1.42,1309.32,PayPal,Cancelled
5028,CA-2024-0028,2025-01-01,2024-10-18,Express,1675,Consumer,USA,West Sean,Indiana,P3674,Office Supplies,Tables,Exactly Desk,2102.15,2,12.64,1382.22,Bank Transfer,Cancelled
5029,CA-2024-0029,2024-12-25,2023-12-13,Standard,1502,Home Office,USA,Jeremyhaven,Mississippi,P3363,Office Supplies,Printers,Operation Printer,1453.12,1,12.53,2438.66,Credit Card,Shipped
5030,CA-2024-0030,2024-06-18,2024-12-22,Express,1853,Consumer,USA,New Jonathanstad,Georgia,P3843,Electronics,Laptops,Arrive Desk,535.89,1,3.97,95.62,Credit Card,Shipped
5031,CA-2024-0031,2023-04-19,2023-05-02,Express,1614,Corporate,USA,Lake Markton,Virginia,P3955,Office Supplies,Smartphones,Likely Desk,2040.78,5,4.88,1468.77,Debit Card,Cancelled
5032,CA-2024-0032,2024-03-14,2024-12-11,Express,1514,Corporate,USA,Richardview,Georgia,P3712,Electronics,Tables,Trouble Printer,343.01,2,4.23,2316.25,Bank Transfer,Delivered
5033,CA-2024-0033,2024-07-22,2024-10-10,Same Day,1805,Consumer,USA,Port Aaronburgh,Florida,P3772,Furniture,Laptops,Hope Monitor,996.33,4,16.15,1567.9,Debit Card,Cancelled
5034,CA-2024-0034,2024-05-04,2023-06-12,Express,1037,Corporate,USA,Lake Alexis,Tennessee,P3468,Office Supplies,Laptops,Edge Printer,685.87,1,14.65,1986.23,Credit Card,Cancelled
5035,CA-2024-0035,2025-01-16,2024-10-31,Same Day,1215,Consumer,USA,South Ryan,Maine,P3714,Furniture,Laptops,Half Laptop,949.45,4,7.26,1810.79,Credit Card,In Transit
5036,CA-2024-0036,2023-10-27,2024-03-21,Standard,1442,Corporate,USA,West Shari,Ohio,P3837,Furniture,Laptops,Should Printer,1843.41,1,0.67,1450.17,Credit Card,In Transit
5037,CA-2024-0037,2025-01-01,2024-05-07,Standard,1874,Consumer,USA,Lake Dan,North Carolina,P3442,Furniture,Smartphones,Design Laptop,2430.19,2,16.08,705.78,PayPal,Cancelled
5038,CA-2024-0038,2024-02-09,2023-12-07,Standard,1460,Home Office,USA,South Kelly,West Virginia,P3892,Furniture,Smartphones,Class Desk,965.18,3,16.16,1630.54,Credit Card,Cancelled
5039,CA-2024-0039,2023-04-04,2023-03-24,Express,1120,Home Office,USA,Josephfort,Michigan,P3252,Furniture,Chairs,Adult Laptop,596.49,5,13.45,1557.23,Debit Card,In Transit
5040,CA-2024-0040,2023-11-12,2023-04-08,Standard,1084,Home Office,USA,New Donald,Arizona,P3556,Office Supplies,Printers,Local Monitor,2366.5,2,1.93,1753.33,PayPal,Delivered
5041,CA-2024-0041,2025-01-01,2023-07-18,Standard,1530,Corporate,USA,Millerfort,Michigan,P3244,Furniture,Smartphones,Hard Desk,983.75,1,4.53,497.64,Credit Card,Delivered
5042,CA-2024-0042,2023-08-18,2023-04-14,Express,1459,Consumer,USA,Johnland,Connecticut,P3650,Furniture,Tables,Law Monitor,1201.92,4,10.42,2270.08,PayPal,Delivered
5043,CA-2024-0043,2023-10-18,2024-11-24,Standard,1675,Corporate,USA,South Meganshire,Virginia,P3308,Electronics,Printers,Official Printer,1228.42,4,17.73,293.26,Debit Card,In Transit
5044,CA-2024-0044,2025-01-24,2025-01-13,Standard,1741,Consumer,USA,East Michael,Washington,P3034,Electronics,Smartphones,Sister Desk,1221.28,4,5.54,388.35,Credit Card,Delivered
5045,CA-2024-0045,2023-04-05,2025-01-17,Standard,1053,Home Office,USA,West Amandaborough,Arizona,P3717,Electronics,Chairs,Allow Monitor,2206.3,3,11.49,2317.97,Credit Card,Delivered
5046,CA-2024-0046,2024-10-18,2023-09-05,Standard,1120,Corporate,USA,Lake Mariah,Colorado,P3688,Office Supplies,Printers,Tax Monitor,607.84,2,10.65,328.47,PayPal,Delivered
5047,CA-2024-0047,2024-11-28,2024-04-16,Express,1070,Consumer,USA,Tarabury,North Dakota,P3660,Office Supplies,Tables,Person Monitor,704.32,5,13.81,1966.6,PayPal,Cancelled
5048,CA-2024-0048,2023-09-07,2023-06-18,Express,1458,Home Office,USA,Danielleborough,Washington,P3739,Electronics,Laptops,Heart Laptop,1067.53,4,13.52,1379.98,Credit Card,Delivered
5049,CA-2024-0049,2023-11-28,2025-01-06,Same Day,1060,Consumer,USA,Port Gabrielleside,Hawaii,P3653,Electronics,Printers,Continue Laptop,1223.4,5,17.75,1642.23,Debit Card,Shipped
5050,CA-2024-0050,2023-03-04,2024-08-05,Standard,1245,Home Office,USA,Port Brittneybury,Wisconsin,P3214,Office Supplies,Tables,Investment Laptop,301.71,5,1.92,1138.21,PayPal,Delivered
5051,CA-2024-0051,2024-09-11,2024-08-20,Express,1503,Consumer,USA,West Debraberg,Wisconsin,P3044,Office Supplies,Printers,Hit Monitor,1233.1,2,17.99,1432.4,Credit Card,Delivered
5052,CA-2024-0052,2025-01-22,2023-05-19,Same Day,1072,Consumer,USA,East Maureenhaven,Florida,P3247,Office Supplies,Tables,Maybe Monitor,87.02,1,4.69,1107.57,Credit Card,Delivered
5053,CA-2024-0053,2025-02-22,2024-06-20,Express,1096,Consumer,USA,South Joshua,Maryland,P3237,Electronics,Laptops,Administration Phone,820.57,3,16.22,1978.08,PayPal,Delivered
5054,CA-2024-0054,2023-09-04,2024-05-13,Standard,1262,Corporate,USA,East Luis,Colorado,P3627,Electronics,Smartphones,Claim Laptop,104.33,4,18.04,2484.96,Bank Transfer,Shipped
5055,CA-2024-0055,2025-01-01,2025-01-26,Same Day,1440,Corporate,USA,North Amber,Ohio,P3686,Office Supplies,Chairs,By Phone,973.89,5,16.47,299.47,Debit Card,Cancelled
5056,CA-2024-0056,2025-02-08,2024-08-02,Same Day,1370,Home Office,USA,Jillianhaven,Minnesota,P3613,Furniture,Printers,Consumer Phone,1146.41,4,13.82,1094.52,Bank Transfer,In Transit
5057,CA-2024-0057,2023-10-02,2024-10-29,Standard,1270,Corporate,USA,Jessicamouth,Massachusetts,P3452,Office Supplies,Chairs,Meeting Monitor,187.61,3,9.37,728.95,PayPal,Delivered
5058,CA-2024-0058,2024-08-09,2023-08-02,Express,1738,Corporate,USA,Lake Shellychester,California,P3421,Furniture,Laptops,Heavy Phone,60.92,1,4.9,1786.8,PayPal,Delivered
5059,CA-2024-0059,2023-08-08,2024-07-13,Same Day,1531,Corporate,USA,Jesseton,Georgia,P3372,Furniture,Tables,After Phone,703.27,2,11.41,1218.46,Bank Transfer,Cancelled
5060,CA-2024-0060,2024-09-13,2025-02-21,Same Day,1696,Consumer,USA,Whitetown,Iowa,P3169,Office Supplies,Tables,Foreign Monitor,2196.75,1,16.9,760.49,Bank Transfer,In Transit
5061,CA-2024-0061,2023-11-15,2023-04-24,Same Day,1150,Corporate,USA,North Jessica,Nebraska,P3512,Furniture,Chairs,Second Laptop,347.35,2,5.2,869.81,PayPal,Delivered
5062,CA-2024-0062,2023-10-21,2024-03-18,Express,1070,Corporate,USA,Bergport,New Mexico,P3241,Office Supplies,Laptops,Suffer Monitor,1713.92,5,5.91,2259.24,Credit Card,Delivered
5063,CA-2024-0063,2024-12-13,2023-12-30,Standard,1381,Consumer,USA,New Laurieport,Colorado,P3565,Electronics,Laptops,Large Laptop,1610.81,1,2.1,1966.22,Credit Card,Cancelled
5064,CA-2024-0064,2023-04-07,2024-10-02,Same Day,1486,Home Office,USA,Lake Kristin,Nebraska,P3960,Furniture,Printers,Act Monitor,1727.26,5,8.37,1726.95,Bank Transfer,Shipped
5065,CA-2024-0065,2023-05-22,2023-03-27,Standard,1698,Home Office,USA,Christopherland,North Dakota,P3203,Electronics,Chairs,Travel Desk,672.4,5,10.33,762.07,Bank Transfer,Delivered
5066,CA-2024-0066,2023-08-10,2023-07-18,Same Day,1419,Home Office,USA,Larrymouth,New Mexico,P3944,Furniture,Printers,Quickly Printer,1116.73,3,7.05,1891.69,Credit Card,Delivered
5067,CA-2024-0067,2023-05-30,2024-09-02,Standard,1953,Home Office,USA,Jasonberg,Texas,P3480,Electronics,Laptops,Which Laptop,1479.22,5,19.2,359.36,Bank Transfer,In Transit
5068,CA-2024-0068,2024-09-19,2023-05-14,Same Day,1932,Consumer,USA,North Daniel,Georgia,P3881,Office Supplies,Smartphones,Friend Phone,1498.38,3,13.86,2179.82,PayPal,In Transit
5069,CA-2024-0069,2024-09-02,2023-07-12,Same Day,1201,Corporate,USA,Michaelchester,Illinois,P3403,Electronics,Smartphones,Street Monitor,2066.25,5,10.09,1465.87,Credit Card,Cancelled
5070,CA-2024-0070,2023-06-05,2024-04-02,Same Day,1255,Corporate,USA,New Jeromechester,Minnesota,P3470,Electronics,Printers,Drug Monitor,1848.68,4,4.45,1549.86,PayPal,Shipped
5071,CA-2024-0071,2024-12-20,2024-05-14,Express,1274,Corporate,USA,West Samuel,Minnesota,P3130,Electronics,Tables,Magazine Laptop,159.18,2,5.55,1412.17,PayPal,Cancelled
5072,CA-2024-0072,2024-07-02,2024-12-23,Standard,1093,Corporate,USA,Johnberg,Texas,P3506,Office Supplies,Smartphones,South Desk,279.19,5,1.83,171.68,Debit Card,Delivered
5073,CA-2024-0073,2023-11-19,2024-08-16,Standard,1899,Corporate,USA,Port Benjamin,Utah,P3481,Office Supplies,Smartphones,Record Monitor,634.39,3,0.83,2178.56,Credit Card,Shipped
5074,CA-2024-0074,2023-05-05,2023-09-11,Same Day,1714,Corporate,USA,Port Johnland,South Carolina,P3812,Office Supplies,Laptops,Yeah Printer,488.7,2,3.51,2031.5,PayPal,Cancelled
5075,CA-2024-0075,2024-07-06,2023-04-06,Same Day,1363,Consumer,USA,Stricklandborough,New Jersey,P3554,Electronics,Printers,Spend Printer,293.15,5,16.13,1434.78,PayPal,Shipped
5076,CA-2024-0076,2023-04-14,2023-08-23,Express,1063,Consumer,USA,Austinchester,Alabama,P3315,Furniture,Chairs,Generation Phone,2156.5,2,3.01,2143.43,Debit Card,Shipped
5077,CA-2024-0077,2024-05-14,2024-07-04,Express,1948,Home Office,USA,New Kristin,New Hampshire,P3096,Electronics,Tables,However Monitor,1075.17,1,14.13,1849.79,Debit Card,Cancelled
